trial_id,participant_id,language,sentence_id,noise_code,ground_truth,n_tokens,caption_output,substitutions,deletions,insertions,latency_ms
E01-S01-C0,E01,English,S01,C0,The meeting begins at three.,5,The meeting begins at three.,0,0,0,581
E01-S01-C1,E01,English,S01,C1,The meeting begins at three.,5,The meeting begins,0,2,0,813
E01-S01-C2,E01,English,S01,C2,The meeting begins at three.,5,The meeting begins at salad,1,0,0,1197
E01-S01-C3,E01,English,S01,C3,The meeting begins at three.,5,menu meeting close at three.,2,0,0,1453
E01-S02-C0,E01,English,S02,C0,Please close the door behind you.,6,Please close the door behind you.,0,0,0,660
E01-S02-C1,E01,English,S02,C1,Please close the door behind you.,6,Please close tomorrow door behind you.,1,0,0,935
E01-S02-C2,E01,English,S02,C2,Please close the door behind you.,6,close the door behind you. close,0,1,1,1022
E01-S02-C3,E01,English,S02,C3,Please close the door behind you.,6,Please close the door behind you.,0,0,0,1412
E01-S03-C0,E01,English,S03,C0,Turn left at the next light.,6,Turn left at the next light.,0,0,0,725
E01-S03-C1,E01,English,S03,C1,Turn left at the next light.,6,Turn at soup next light.,1,1,0,895
E01-S03-C2,E01,English,S03,C2,Turn left at the next light.,6,Turn left at the next light.,0,0,0,1002
E01-S03-C3,E01,English,S03,C3,Turn left at the next light.,6,Turn left at the next light.,0,0,0,1367
E01-S04-C0,E01,English,S04,C0,The package arrived this morning.,5,The package arrived this door,1,0,0,625
E01-S04-C1,E01,English,S04,C1,The package arrived this morning.,5,The package soup this morning.,1,0,0,828
E01-S04-C2,E01,English,S04,C2,The package arrived this morning.,5,The soup arrived this morning.,1,0,0,1019
E01-S04-C3,E01,English,S04,C3,The package arrived this morning.,5,The package arrived this Friday please,1,0,1,1406
E01-S05-C0,E01,English,S05,C0,Today we are going to discuss the nervous system and how signals travel through the body.,16,Today we are going to discuss the nervous system and how signals travel through the body.,0,0,0,636
E01-S05-C1,E01,English,S05,C1,Today we are going to discuss the nervous system and how signals travel through the body.,16,signals we are going to discuss salad nervous system and signals travel through the body.,2,1,0,855
E01-S05-C2,E01,English,S05,C2,Today we are going to discuss the nervous system and how signals travel through the body.,16,Today we are going to discuss the nervous system and meeting signals menu through the body.,2,0,0,1016
E01-S05-C3,E01,English,S05,C3,Today we are going to discuss the nervous system and how signals travel through the body.,16,Today we going to nervous starts system and next how signals body through the signals food,2,3,3,1485
E01-S06-C0,E01,English,S06,C0,"Could you pass the menu, I think I want the soup and a salad tonight.",15,"Could you pass the menu, I Saturday think I want the soup and a salad tonight.",0,0,1,622
E01-S06-C1,E01,English,S06,C1,"Could you pass the menu, I think I want the soup and a salad tonight.",15,"Could you door soup menu, I think meeting want the soup and a salad tonight.",3,0,0,871
E01-S06-C2,E01,English,S06,C2,"Could you pass the menu, I think I want the soup and a salad tonight.",15,"meeting morning you pass the menu, I think I salad soup and salad tonight.",2,2,1,933
E01-S06-C3,E01,English,S06,C3,"Could you pass the menu, I think I want the soup and a salad tonight.",15,Could you pass the menu I think I salad the and a salad tonight.,2,1,0,1322
E01-S07-C0,E01,English,S07,C0,"Wait, so are we meeting Friday or Saturday, and who is bringing the food?",14,"Wait, so are we meeting Friday or Saturday, and who is bringing the food?",0,0,0,835
E01-S07-C1,E01,English,S07,C1,"Wait, so are we meeting Friday or Saturday, and who is bringing the food?",14,"Wait, so are we meeting Friday morning Saturday, and who is Friday the",2,1,0,916
E01-S07-C2,E01,English,S07,C2,"Wait, so are we meeting Friday or Saturday, and who is bringing the food?",14,"Wait, so are we meeting Friday today or signals and food is bringing bringing the food?",2,0,2,1004
E01-S07-C3,E01,English,S07,C3,"Wait, so are we meeting Friday or Saturday, and who is bringing the food?",14,"Wait, body are meeting going Saturday signals and who is today the food?",5,1,0,1409
E02-S01-C0,E02,English,S01,C0,The meeting begins at three.,5,The meeting begins at three.,0,0,0,756
E02-S01-C1,E02,English,S01,C1,The meeting begins at three.,5,The meeting system at three.,1,0,0,945
E02-S01-C2,E02,English,S01,C2,The meeting begins at three.,5,The meeting begins at three.,0,0,0,1044
E02-S01-C3,E02,English,S01,C3,The meeting begins at three.,5,starts close meeting begins at three.,1,0,1,1409
E02-S02-C0,E02,English,S02,C0,Please close the door behind you.,6,Please close the door behind bringing,1,0,0,616
E02-S02-C1,E02,English,S02,C1,Please close the door behind you.,6,Please close the door behind you.,0,0,0,927
E02-S02-C2,E02,English,S02,C2,Please close the door behind you.,6,Please close the body you.,1,1,0,1056
E02-S02-C3,E02,English,S02,C3,Please close the door behind you.,6,Please close the door behind soup,1,0,0,1539
E02-S03-C0,E02,English,S03,C0,Turn left at the next light.,6,Turn left at the next light.,0,0,0,743
E02-S03-C1,E02,English,S03,C1,Turn left at the next light.,6,Turn left going at the next light.,0,0,1,909
E02-S03-C2,E02,English,S03,C2,Turn left at the next light.,6,please Turn left at the next light. Friday,0,0,2,1123
E02-S03-C3,E02,English,S03,C3,Turn left at the next light.,6,today left starts the Saturday,3,1,0,1415
E02-S04-C0,E02,English,S04,C0,The package arrived this morning.,5,The package arrived this morning.,0,0,0,737
E02-S04-C1,E02,English,S04,C1,The package arrived this morning.,5,The package arrived this morning.,0,0,0,851
E02-S04-C2,E02,English,S04,C2,The package arrived this morning.,5,The package arrived this morning.,0,0,0,1153
E02-S04-C3,E02,English,S04,C3,The package arrived this morning.,5,body package arrived this morning.,1,0,0,1382
E02-S05-C0,E02,English,S05,C0,Today we are going to discuss the nervous system and how signals travel through the body.,16,Today we are going to discuss the nervous system and how signals travel through the body.,0,0,0,706
E02-S05-C1,E02,English,S05,C1,Today we are going to discuss the nervous system and how signals travel through the body.,16,Today we are going to discuss the nervous system and how signals travel the body.,0,1,0,914
E02-S05-C2,E02,English,S05,C2,Today we are going to discuss the nervous system and how signals travel through the body.,16,Today Saturday are going to Saturday the nervous system and how signals travel through body.,2,1,0,1047
E02-S05-C3,E02,English,S05,C3,Today we are going to discuss the nervous system and how signals travel through the body.,16,Today meeting are next to starts discuss the menu how signals travel through the starts,4,2,1,1385
E02-S06-C0,E02,English,S06,C0,"Could you pass the menu, I think I want the soup and a salad tonight.",15,"Could you pass the menu, I think I want the soup and a salad tonight.",0,0,0,641
E02-S06-C1,E02,English,S06,C1,"Could you pass the menu, I think I want the soup and a salad tonight.",15,"you signals the menu, I I want the body and a salad tonight.",2,2,0,796
E02-S06-C2,E02,English,S06,C2,"Could you pass the menu, I think I want the soup and a salad tonight.",15,Could the signals next want the soup and a salad tonight.,2,4,0,1095
E02-S06-C3,E02,English,S06,C3,"Could you pass the menu, I think I want the soup and a salad tonight.",15,door you please the meeting please soup salad I want the soup and a salad tonight.,5,0,1,1457
E02-S07-C0,E02,English,S07,C0,"Wait, so are we meeting Friday or Saturday, and who is bringing the food?",14,"Wait, so are we meeting Friday or Saturday, signals who is the food?",1,1,0,707
E02-S07-C1,E02,English,S07,C1,"Wait, so are we meeting Friday or Saturday, and who is bringing the food?",14,"close so are we meeting Friday or Saturday, and who is door the food?",1,1,1,936
E02-S07-C2,E02,English,S07,C2,"Wait, so are we meeting Friday or Saturday, and who is bringing the food?",14,"Wait, so are we meeting Friday or Saturday, and who is soup",1,2,0,1113
E02-S07-C3,E02,English,S07,C3,"Wait, so are we meeting Friday or Saturday, and who is bringing the food?",14,"morning Wait, so please we Friday or Saturday, tomorrow who is tomorrow the Saturday",5,1,1,1469
K01-S01-C0,K01,Korean,S01,C0,회의는 세 시에 시작합니다.,4,회의는 세 시에 소포가,1,0,0,626
K01-S01-C1,K01,Korean,S01,C1,회의는 세 시에 시작합니다.,4,신호가 세 시에 시작합니다.,1,0,0,941
K01-S01-C2,K01,Korean,S01,C2,회의는 세 시에 시작합니다.,4,회의는 세 시에 시작합니다.,0,0,0,931
K01-S01-C3,K01,Korean,S01,C3,회의는 세 시에 시작합니다.,4,토요일 시작합니다.,1,2,0,1359
K01-S02-C0,K01,Korean,S02,C0,나가실 때 문을 닫아 주세요.,5,나가실 때 문을 닫아 좌회전해요,1,0,0,624
K01-S02-C1,K01,Korean,S02,C1,나가실 때 문을 닫아 주세요.,5,오늘 나가실 때 문을 닫아 주세요.,0,0,1,872
K01-S02-C2,K01,Korean,S02,C2,나가실 때 문을 닫아 주세요.,5,회의 닫아 주세요.,1,2,0,1108
K01-S02-C3,K01,Korean,S02,C3,나가실 때 문을 닫아 주세요.,5,나가실 오늘 문을 좌회전해요 닫아 신경 수프 내일,2,0,3,1524
K01-S03-C0,K01,Korean,S03,C0,다음 신호등에서 좌회전하세요.,3,다음 신호등에서 좌회전하세요.,0,0,0,651
K01-S03-C1,K01,Korean,S03,C1,다음 신호등에서 좌회전하세요.,3,다음 신호등에서 회의,1,0,0,765
K01-S03-C2,K01,Korean,S03,C2,다음 신호등에서 좌회전하세요.,3,다음 신호등에서 좌회전하세요.,0,0,0,1146
K01-S03-C3,K01,Korean,S03,C3,다음 신호등에서 좌회전하세요.,3,다음 문을 좌회전하세요.,1,0,0,1411
K01-S04-C0,K01,Korean,S04,C0,소포가 오늘 아침에 도착했습니다.,4,소포가 오늘 아침에 도착했습니다. 금요일,0,0,1,674
K01-S04-C1,K01,Korean,S04,C1,소포가 오늘 아침에 도착했습니다.,4,소포가 오늘 아침에 도착했습니다.,0,0,0,807
K01-S04-C2,K01,Korean,S04,C2,소포가 오늘 아침에 도착했습니다.,4,소포가 오늘 아침에 도착했습니다.,0,0,0,965
K01-S04-C3,K01,Korean,S04,C3,소포가 오늘 아침에 도착했습니다.,4,누가 아침에 도착했습니다.,1,1,0,1382
K01-S05-C0,K01,Korean,S05,C0,오늘은 신경계와 신호가 몸속을 이동하는 방식에 대해 이야기해 볼게요.,9,오늘은 신경계와 신호가 몸속을 이동하는 방식에 대해 이야기해 볼게요.,0,0,0,666
