trial_id,language,noise_code,error_type,ground_truth_segment,caption_segment
,English,C1,Deletion,at,
,English,C1,Deletion,three.,
,English,C2,Substitution,three.,salad
,English,C3,Substitution,The,menu
,English,C3,Substitution,begins,close
,English,C1,Substitution,the,tomorrow
,English,C2,Deletion,Please,
,English,C2,Insertion,,close
,English,C1,Deletion,left,
,English,C1,Substitution,the,soup
,English,C0,Substitution,morning.,door
,English,C1,Substitution,arrived,soup
,English,C2,Substitution,package,soup
,English,C3,Substitution,morning.,please
,English,C3,Insertion,,Friday
,English,C1,Substitution,Today,signals
,English,C1,Substitution,the,salad
,English,C1,Deletion,how,
,English,C2,Substitution,how,meeting
,English,C2,Substitution,travel,menu
,English,C3,Deletion,are,
,English,C3,Deletion,discuss,
,English,C3,Deletion,the,
,English,C3,Substitution,travel,body
,English,C3,Substitution,body.,food
,English,C3,Insertion,,signals
,English,C3,Insertion,,next
,English,C3,Insertion,,starts
,English,C0,Insertion,,Saturday
,English,C1,Substitution,pass,door
,English,C1,Substitution,the,soup
,English,C1,Substitution,I,meeting
,English,C2,Substitution,Could,morning
,English,C2,Deletion,want,
,English,C2,Substitution,the,salad
,English,C2,Deletion,a,
,English,C2,Insertion,,meeting
,English,C3,Substitution,"menu,",menu
,English,C3,Substitution,want,salad
,English,C3,Deletion,soup,
,English,C1,Substitution,or,morning
,English,C1,Substitution,bringing,Friday
,English,C1,Deletion,food?,
,English,C2,Substitution,"Saturday,",signals
,English,C2,Substitution,who,food
,English,C2,Insertion,,bringing
,English,C2,Insertion,,today
,English,C3,Substitution,so,body
,English,C3,Deletion,we,
,English,C3,Substitution,Friday,going
,English,C3,Substitution,or,Saturday
,English,C3,Substitution,"Saturday,",signals
,English,C3,Substitution,bringing,today
,English,C1,Substitution,begins,system
,English,C3,Substitution,The,close
,English,C3,Insertion,,starts
,English,C0,Substitution,you.,bringing
,English,C2,Deletion,door,
,English,C2,Substitution,behind,body
,English,C3,Substitution,you.,soup
,English,C1,Insertion,,going
,English,C2,Insertion,,Friday
,English,C2,Insertion,,please
,English,C3,Substitution,Turn,today
,English,C3,Substitution,at,starts
,English,C3,Deletion,next,
,English,C3,Substitution,light.,Saturday
,English,C3,Substitution,The,body
,English,C1,Deletion,through,
,English,C2,Substitution,we,Saturday
,English,C2,Substitution,discuss,Saturday
,English,C2,Deletion,the,
,English,C3,Substitution,we,meeting
,English,C3,Substitution,going,next
,English,C3,Deletion,nervous,
,English,C3,Deletion,system,
,English,C3,Substitution,and,menu
,English,C3,Substitution,body.,starts
,English,C3,Insertion,,starts
,English,C1,Deletion,Could,
,English,C1,Substitution,pass,signals
,English,C1,Deletion,think,
,English,C1,Substitution,soup,body
,English,C2,Deletion,you,
,English,C2,Deletion,pass,
,English,C2,Substitution,"menu,",signals
,English,C2,Deletion,I,
,English,C2,Substitution,think,next
,English,C2,Deletion,I,
,English,C3,Substitution,Could,door
,English,C3,Substitution,pass,please
,English,C3,Substitution,"menu,",meeting
,English,C3,Substitution,I,please
,English,C3,Substitution,think,soup
,English,C3,Insertion,,salad
,English,C0,Substitution,and,signals
,English,C0,Deletion,bringing,
,English,C1,Substitution,"Wait,",close
,English,C1,Deletion,bringing,
,English,C1,Insertion,,door
,English,C2,Deletion,bringing,
,English,C2,Substitution,the,soup
,English,C2,Deletion,food?,
,English,C3,Substitution,are,please
,English,C3,Substitution,meeting,Friday
,English,C3,Deletion,Friday,
,English,C3,Substitution,and,tomorrow
,English,C3,Substitution,bringing,tomorrow
,English,C3,Substitution,food?,Saturday
,English,C3,Insertion,,morning
,Korean,C0,Substitution,시작합니다.,소포가
,Korean,C1,Substitution,회의는,신호가
,Korean,C3,Substitution,회의는,토요일
,Korean,C3,Deletion,세,
,Korean,C3,Deletion,시에,
